msisdn,dest_ip,dest_port,data_volume_kb,timestamp
+919000000002,103.40.3.1,443,492.1,2024-01-12 15:28:22
+919000000002,103.18.4.1,8080,887.47,2024-01-12 16:12:16
+919000000002,103.14.4.1,80,851.09,2024-01-12 19:04:57
+919000000002,103.27.3.1,8080,735.64,2024-01-12 21:23:08
+919000000002,103.12.2.1,8080,477.38,2024-01-13 16:16:34
+919000000002,103.47.1.1,8080,220.63,2024-01-13 17:25:49
+919000000002,103.28.3.1,8080,99.65,2024-01-14 10:29:32
+919000000002,103.33.2.1,8080,735.89,2024-01-14 14:14:57
+919000000002,103.33.2.1,80,849.5,2024-01-14 16:00:42
+919000000002,103.40.4.1,443,239.43,2024-01-15 13:02:14
+919000000002,103.26.4.1,8080,214.71,2024-01-15 13:14:02
+919000000002,103.33.1.1,443,882.74,2024-01-15 14:30:58
+919000000002,103.46.1.1,80,738.56,2024-01-15 17:42:55
+919000000002,103.12.3.1,8080,968.76,2024-01-15 18:20:06
+919000000002,103.20.3.1,443,167.63,2024-01-15 20:32:08
+919000000002,103.34.1.1,443,819.06,2024-01-16 11:33:25
+919000000002,103.34.1.1,80,521.5,2024-01-16 13:37:41
+919000000002,103.32.1.1,8080,16.53,2024-01-16 15:50:30
+919000000002,103.26.4.1,80,382.89,2024-01-16 17:34:36
+919000000002,103.23.3.1,443,606.0,2024-01-17 10:11:10
+919000000002,103.38.1.1,8080,647.04,2024-01-17 10:14:04
+919000000002,103.17.3.1,443,723.05,2024-01-17 18:14:26
+919000000002,103.19.2.1,80,521.47,2024-01-18 08:10:16
+919000000002,103.36.2.1,80,577.75,2024-01-18 08:15:02
+919000000002,103.20.2.1,80,891.89,2024-01-18 10:40:32
+919000000002,103.40.3.1,80,650.79,2024-01-18 15:13:37
+919000000002,103.35.4.1,80,879.72,2024-01-18 17:36:40
+919000000002,103.26.4.1,443,923.13,2024-01-19 10:46:43
+919000000002,103.15.2.1,443,868.63,2024-01-19 11:28:38
+919000000002,103.20.4.1,8080,151.29,2024-01-19 11:53:26
+919000000002,103.47.2.1,8080,663.05,2024-01-19 21:49:11
+919000000002,103.48.2.1,8080,508.3,2024-01-20 08:56:50
+919000000002,103.47.4.1,443,140.89,2024-01-20 09:14:24
+919000000002,103.17.3.1,80,902.96,2024-01-20 09:30:42
+919000000002,103.11.1.1,8080,687.52,2024-01-20 11:33:55
+919000000002,103.19.3.1,443,902.59,2024-01-20 17:06:11
+919000000002,103.44.3.1,8080,652.74,2024-01-20 21:00:57
+919000000002,103.46.4.1,443,482.37,2024-01-21 09:27:08
+919000000002,103.36.1.1,8080,746.21,2024-01-21 12:12:00
+919000000002,103.36.4.1,8080,534.52,2024-01-21 13:55:02
+919000000002,103.10.2.1,8080,17.12,2024-01-21 17:33:07
+919000000002,103.24.3.1,443,357.01,2024-01-21 20:30:50
+919000000002,103.24.4.1,8080,878.0,2024-01-21 21:05:18
+919000000002,103.47.2.1,8080,429.33,2024-01-22 12:16:54
+919000000002,103.30.1.1,80,431.81,2024-01-22 14:23:06
+919000000002,103.33.2.1,443,757.42,2024-01-22 17:17:43
+919000000002,103.42.3.1,8080,617.89,2024-01-23 14:50:21
+919000000002,103.45.3.1,8080,350.91,2024-01-23 15:16:19
+919000000002,103.24.3.1,80,109.28,2024-01-23 15:50:44
+919000000002,103.35.2.1,8080,127.89,2024-01-23 19:08:54
+919000000002,103.45.2.1,80,376.51,2024-01-23 20:35:30
+919000000002,103.20.2.1,80,825.02,2024-01-24 14:40:00
+919000000002,103.40.1.1,80,270.46,2024-01-24 17:27:05
+919000000002,103.38.1.1,8080,931.45,2024-01-25 08:12:54
+919000000002,103.48.1.1,80,643.89,2024-01-25 08:49:52
+919000000002,103.15.1.1,443,931.38,2024-01-25 17:02:46
+919000000002,103.35.3.1,443,714.49,2024-01-25 17:41:33
+919000000002,103.14.2.1,8080,831.47,2024-01-26 09:35:18
+919000000002,103.10.1.1,443,359.6,2024-01-26 10:05:17
+919000000002,103.28.2.1,8080,515.44,2024-01-26 11:02:50
+919000000002,103.47.2.1,443,234.03,2024-01-26 13:22:52
+919000000002,103.35.2.1,8080,25.21,2024-01-26 14:37:12
+919000000002,103.24.4.1,80,366.14,2024-01-26 17:10:43
+919000000002,103.42.2.1,8080,301.31,2024-01-27 09:35:04
+919000000002,103.39.1.1,443,183.28,2024-01-27 14:36:00
+919000000002,103.17.2.1,8080,815.02,2024-01-27 20:32:16
+919000000002,103.26.4.1,443,676.96,2024-01-28 11:18:05
+919000000002,103.30.1.1,8080,19.63,2024-01-28 14:22:33
+919000000002,103.34.2.1,8080,704.16,2024-01-28 18:50:14
+919000000002,103.26.1.1,8080,488.79,2024-01-28 19:28:24
+919000000002,103.25.3.1,443,684.78,2024-01-28 20:21:49
+919000000002,103.47.3.1,80,265.24,2024-01-28 21:01:30
+919000000002,103.26.4.1,80,837.97,2024-01-29 11:14:12
+919000000002,103.22.1.1,80,738.07,2024-01-29 15:47:12
+919000000002,103.14.4.1,443,320.73,2024-01-29 16:59:11
+919000000002,103.23.4.1,8080,686.28,2024-01-29 17:17:11
+919000000002,103.40.4.1,443,899.14,2024-01-30 13:39:20
+919000000002,103.41.3.1,8080,958.41,2024-01-30 17:00:48
+919000000002,103.19.4.1,80,679.05,2024-01-30 20:06:07
+919000000002,103.46.4.1,80,984.55,2024-01-30 21:17:31
