msisdn_a,msisdn_b,imei,tower_id,tower_lat,tower_lon,call_type,duration_sec,timestamp
+919000000004,+919000000003,IMEI-D1,Tower-T09,16.5062,80.648,CALL,95,2024-01-08 10:11:34
+919000000004,+919000000003,IMEI-D1,Tower-T03,17.385,78.4867,CALL,171,2024-01-08 12:15:29
+919000000004,+919000000002,IMEI-D1,Tower-T14,13.055,80.21,CALL,208,2024-01-08 15:24:05
+919000000004,+919000000003,IMEI-D1,Tower-T09,16.5062,80.648,CALL,224,2024-01-08 16:43:46
+919000000004,+919000000002,IMEI-D1,Tower-T01,12.9716,77.5946,CALL,182,2024-01-08 20:14:53
+919000000004,+919000000002,IMEI-D1,Tower-T08,11.0168,76.9558,CALL,54,2024-01-09 10:06:38
+919000000004,+919000000002,IMEI-D1,Tower-T04,19.076,72.8777,CALL,135,2024-01-09 18:49:59
+919000000004,+919000000002,IMEI-D1,Tower-T14,13.055,80.21,CALL,244,2024-01-09 20:48:07
+919000000004,+919000000003,IMEI-D1,Tower-T04,19.076,72.8777,CALL,193,2024-01-10 09:08:32
+919000000004,+919000000003,IMEI-D1,Tower-T04,19.076,72.8777,CALL,184,2024-01-10 18:38:49
+919000000004,+919000000003,IMEI-D1,Tower-T04,19.076,72.8777,CALL,141,2024-01-10 20:02:25
+919000000004,+919000000002,IMEI-D1,Tower-T14,13.055,80.21,CALL,248,2024-01-11 09:35:37
+919000000004,+919000000003,IMEI-D1,Tower-T14,13.055,80.21,CALL,225,2024-01-11 17:31:03
+919000000004,+919000000003,IMEI-D1,Tower-T05,28.7041,77.1025,CALL,170,2024-01-11 19:33:14
+919000000004,+919000000003,IMEI-D1,Tower-T04,19.076,72.8777,CALL,145,2024-01-12 11:48:34
+919000000004,+919000000002,IMEI-D1,Tower-T08,11.0168,76.9558,CALL,59,2024-01-12 13:54:45
+919000000004,+919000000002,IMEI-D1,Tower-T07,15.8497,74.4977,CALL,154,2024-01-12 17:26:26
+919000000004,+919000000002,IMEI-D1,Tower-T05,28.7041,77.1025,CALL,222,2024-01-12 20:26:26
+919000000004,+919000000002,IMEI-D1,Tower-T01,12.9716,77.5946,CALL,167,2024-01-13 10:34:46
+919000000004,+919000000002,IMEI-D1,Tower-T08,11.0168,76.9558,CALL,219,2024-01-13 12:21:41
+919000000004,+919000000002,IMEI-D1,Tower-T02,13.0827,80.2707,CALL,126,2024-01-13 15:43:38
+919000000004,+919000000002,IMEI-D1,Tower-T08,11.0168,76.9558,CALL,136,2024-01-13 18:46:42
+919000000004,+919000000002,IMEI-D1,Tower-T04,19.076,72.8777,CALL,90,2024-01-14 13:58:00
+919000000004,+919000000003,IMEI-D1,Tower-T05,28.7041,77.1025,CALL,224,2024-01-14 15:58:15
+919000000004,+919000000003,IMEI-D1,Tower-T05,28.7041,77.1025,CALL,163,2024-01-14 16:34:41
+919000000004,+919000000002,IMEI-D1,Tower-T10,22.5726,88.3639,CALL,134,2024-01-14 20:48:30
+919000000004,+919000000002,IMEI-D1,Tower-T03,17.385,78.4867,CALL,38,2024-01-15 09:36:55
+919000000004,+919000000003,IMEI-D1,Tower-T05,28.7041,77.1025,CALL,108,2024-01-15 13:35:59
+919000000004,+919000000003,IMEI-D1,Tower-T06,12.2958,76.6394,CALL,241,2024-01-15 14:58:13
+919000000004,+919000000003,IMEI-D1,Tower-T02,13.0827,80.2707,CALL,270,2024-01-15 17:56:31
+919000000004,+919000000003,IMEI-D1,Tower-T14,13.055,80.21,CALL,281,2024-01-16 13:48:52
+919000000004,+919000000002,IMEI-D1,Tower-T08,11.0168,76.9558,CALL,202,2024-01-16 14:14:24
+919000000004,+919000000003,IMEI-D1,Tower-T03,17.385,78.4867,CALL,101,2024-01-16 16:10:46
+919000000004,+919000000003,IMEI-D1,Tower-T06,12.2958,76.6394,CALL,60,2024-01-17 09:13:32
+919000000004,+919000000002,IMEI-D1,Tower-T01,12.9716,77.5946,CALL,241,2024-01-17 10:52:42
+919000000004,+919000000002,IMEI-D1,Tower-T02,13.0827,80.2707,CALL,107,2024-01-17 11:53:40
+919000000004,+919000000002,IMEI-D1,Tower-T09,16.5062,80.648,CALL,47,2024-01-17 11:58:56
+919000000004,+919000000003,IMEI-D1,Tower-T14,13.055,80.21,CALL,279,2024-01-17 18:40:42
+919000000004,+919000000003,IMEI-D1,Tower-T01,12.9716,77.5946,CALL,38,2024-01-18 09:34:35
+919000000004,+919000000003,IMEI-D1,Tower-T01,12.9716,77.5946,CALL,287,2024-01-18 17:46:17
+919000000004,+919000000003,IMEI-D1,Tower-T09,16.5062,80.648,CALL,273,2024-01-19 10:25:24
+919000000004,+919000000002,IMEI-D1,Tower-T09,16.5062,80.648,CALL,106,2024-01-19 11:06:58
+919000000004,+919000000003,IMEI-D1,Tower-T06,12.2958,76.6394,CALL,166,2024-01-19 12:12:39
+919000000004,+919000000003,IMEI-D1,Tower-T08,11.0168,76.9558,CALL,154,2024-01-19 15:05:23
+919000000004,+919000000002,IMEI-D1,Tower-T14,13.055,80.21,CALL,46,2024-01-19 20:14:19
+919000000004,+919000000003,IMEI-D1,Tower-T10,22.5726,88.3639,CALL,78,2024-01-20 15:41:50
+919000000004,+919000000002,IMEI-D1,Tower-T02,13.0827,80.2707,CALL,285,2024-01-20 19:00:44
+919000000004,+919000000003,IMEI-D1,Tower-T09,16.5062,80.648,CALL,46,2024-01-21 10:43:59
+919000000004,+919000000003,IMEI-D1,Tower-T05,28.7041,77.1025,CALL,53,2024-01-21 12:13:57
+919000000004,+919000000002,IMEI-D1,Tower-T10,22.5726,88.3639,CALL,229,2024-01-22 13:10:36
+919000000004,+919000000002,IMEI-D1,Tower-T07,15.8497,74.4977,CALL,69,2024-01-22 14:01:13
+919000000004,+919000000003,IMEI-D1,Tower-T07,15.8497,74.4977,CALL,101,2024-01-22 19:57:34
+919000000004,+919000000003,IMEI-D1,Tower-T10,22.5726,88.3639,CALL,233,2024-01-23 12:53:04
+919000000004,+919000000002,IMEI-D1,Tower-T02,13.0827,80.2707,CALL,253,2024-01-23 17:47:22
+919000000004,+919000000003,IMEI-D1,Tower-T08,11.0168,76.9558,CALL,146,2024-01-24 09:40:17
+919000000004,+919000000003,IMEI-D1,Tower-T14,13.055,80.21,CALL,108,2024-01-24 10:17:09
+919000000004,+919000000003,IMEI-D1,Tower-T04,19.076,72.8777,CALL,67,2024-01-24 10:49:39
+919000000004,+919000000003,IMEI-D1,Tower-T03,17.385,78.4867,CALL,224,2024-01-24 14:35:24
+919000000004,+919000000003,IMEI-D1,Tower-T09,16.5062,80.648,CALL,292,2024-01-25 10:11:27
+919000000004,+919000000002,IMEI-D1,Tower-T01,12.9716,77.5946,CALL,187,2024-01-25 14:23:06
+919000000004,+919000000002,IMEI-D1,Tower-T06,12.2958,76.6394,CALL,77,2024-01-25 15:06:01
+919000000004,+919000000003,IMEI-D1,Tower-T02,13.0827,80.2707,CALL,97,2024-01-25 16:23:48
+919000000004,+919000000003,IMEI-D1,Tower-T07,15.8497,74.4977,CALL,36,2024-01-25 18:38:50
+919000000004,+919000000003,IMEI-D1,Tower-T05,28.7041,77.1025,CALL,277,2024-01-26 11:27:17
+919000000004,+919000000003,IMEI-D1,Tower-T03,17.385,78.4867,CALL,62,2024-01-26 13:19:17
+919000000004,+919000000002,IMEI-D1,Tower-T09,16.5062,80.648,CALL,154,2024-01-26 15:24:49
+919000000004,+919000000003,IMEI-D1,Tower-T03,17.385,78.4867,CALL,101,2024-01-26 18:33:10
+919000000004,+919000000003,IMEI-D1,Tower-T10,22.5726,88.3639,CALL,130,2024-01-27 14:16:15
+919000000004,+919000000003,IMEI-D1,Tower-T01,12.9716,77.5946,CALL,232,2024-01-27 16:06:08
+919000000004,+919000000003,IMEI-D1,Tower-T10,22.5726,88.3639,CALL,154,2024-01-28 15:20:18
+919000000004,+919000000002,IMEI-D1,Tower-T05,28.7041,77.1025,CALL,194,2024-01-28 15:52:52
+919000000004,+919000000003,IMEI-D1,Tower-T08,11.0168,76.9558,CALL,201,2024-01-28 18:24:51
+919000000004,+919000000003,IMEI-D1,Tower-T06,12.2958,76.6394,CALL,120,2024-01-28 18:44:12
+919000000004,+919000000003,IMEI-D1,Tower-T06,12.2958,76.6394,CALL,88,2024-01-29 15:17:52
+919000000004,+919000000002,IMEI-D1,Tower-T14,13.055,80.21,CALL,43,2024-01-29 18:12:37
+919000000004,+919000000003,IMEI-D1,Tower-T14,13.055,80.21,CALL,285,2024-01-29 20:04:52
+919000000004,+919000000002,IMEI-D1,Tower-T08,11.0168,76.9558,CALL,179,2024-01-29 20:29:45
+919000000004,+919000000003,IMEI-D1,Tower-T09,16.5062,80.648,CALL,289,2024-01-30 18:30:37
+919000000004,+919000000003,IMEI-D1,Tower-T14,13.055,80.21,CALL,108,2024-01-30 19:19:15
+919000000004,+919000000003,IMEI-D1,Tower-T02,13.0827,80.2707,CALL,259,2024-01-30 20:27:50
